id,brand,supplier_sku,title,finish,construction,status,width_mm,height_mm,depth_mm,model_url,source_url,review_reasons
oppein-ply-gss-2db36,OPPEIN,PLY-GSS-2DB36,2 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-gss-2db36-2-drawer-base-cabinet-12058,
oppein-ply-bss-2db30,OPPEIN,PLY-BSS-2DB30,2 Drawer Base Cabinet,Blue Single Shaker,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-bss-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-bss-2db30-2-drawer-base-cabinet-15617,
oppein-ply-pgw-2db36,OPPEIN,PLY-PGW-2DB36,2 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-2db36-2-drawer-base-cabinet-15439,
oppein-ply-mso-2db36,OPPEIN,PLY-MSO-2DB36,2 Drawer Base Cabinet,Smoked Oak,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-mso-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-mso-2db36-2-drawer-base-cabinet-14703,
oppein-ply-bss-2db36,OPPEIN,PLY-BSS-2DB36,2 Drawer Base Cabinet,Blue Single Shaker,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-bss-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-bss-2db36-2-drawer-base-cabinet-15665,
oppein-ply-gss-2db30,OPPEIN,PLY-GSS-2DB30,2 Drawer Base Cabinet,Gray Single Shaker,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-gss-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-gss-2db30-2-drawer-base-cabinet-12059,
oppein-ply-mso-2db30,OPPEIN,PLY-MSO-2DB30,2 Drawer Base Cabinet,Smoked Oak,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-mso-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-mso-2db30-2-drawer-base-cabinet-14702,
oppein-ply-pgw-2db30,OPPEIN,PLY-PGW-2DB30,2 Drawer Base Cabinet,White High Gloss,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-pgw-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-pgw-2db30-2-drawer-base-cabinet-15438,
oppein-ply-wss-2db30,OPPEIN,PLY-WSS-2DB30,2 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,762.0,762.0,606.425,/cabinet-library/models/PLY-WSS-2DB30.glb,https://www.oppeincabinetry.ca/shop/ply-wss-2db30-2-drawer-base-cabinet-9929,
oppein-ply-wss-2db36,OPPEIN,PLY-WSS-2DB36,2 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,914.4,762.0,606.425,/cabinet-library/models/PLY-WSS-2DB36.glb,https://www.oppeincabinetry.ca/shop/ply-wss-2db36-2-drawer-base-cabinet-9930,
oppein-ply-mnw-2db30,OPPEIN,PLY-MNW-2DB30,2 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-2db30-2-drawer-base-cabinet-13981,
oppein-ply-mnw-2db36,OPPEIN,PLY-MNW-2DB36,2 Drawer Base Cabinet,Natural Wood,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-mnw-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-mnw-2db36-2-drawer-base-cabinet-13982,
oppein-ply-ssw-2db30,OPPEIN,PLY-SSW-2DB30,2 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-2db30.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-2db30-2-drawer-base-cabinet-12519,
oppein-ply-ssw-2db36,OPPEIN,PLY-SSW-2DB36,2 Drawer Base Cabinet,White Slim Shaker,Plywood,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-ply-ssw-2db36.glb,https://www.oppeincabinetry.ca/shop/ply-ssw-2db36-2-drawer-base-cabinet-12520,
oppein-pb-bss-3db21,OPPEIN,PB-BSS-3DB21,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db21-3-drawer-base-cabinet-17660,
oppein-ply-mso-3db18,OPPEIN,PLY-MSO-3DB18,3 Drawer Base Cabinet,Smoked Oak,Plywood,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-ply-mso-3db18.glb,https://www.oppeincabinetry.ca/shop/ply-mso-3db18-3-drawer-base-cabinet-14699,
oppein-pb-gss-3db36,OPPEIN,PB-GSS-3DB36,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,914.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db36.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db36-3-drawer-base-cabinet-17937,
oppein-pb-gss-3db33,OPPEIN,PB-GSS-3DB33,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,838.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db33.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db33-3-drawer-base-cabinet-17936,
oppein-pb-gss-3db30,OPPEIN,PB-GSS-3DB30,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,762.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db30.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db30-3-drawer-base-cabinet-17935,
oppein-pb-gss-3db27,OPPEIN,PB-GSS-3DB27,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,685.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db27.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db27-3-drawer-base-cabinet-17934,
oppein-pb-gss-3db24,OPPEIN,PB-GSS-3DB24,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,609.6,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db24.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db24-3-drawer-base-cabinet-17933,
oppein-pb-gss-3db21,OPPEIN,PB-GSS-3DB21,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,533.4,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db21.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db21-3-drawer-base-cabinet-17932,
oppein-pb-gss-3db18,OPPEIN,PB-GSS-3DB18,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,457.2,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db18.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db18-3-drawer-base-cabinet-17931,
oppein-pb-gss-3db15,OPPEIN,PB-GSS-3DB15,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,381.0,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db15.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db15-3-drawer-base-cabinet-17930,
oppein-pb-gss-3db12,OPPEIN,PB-GSS-3DB12,3 Drawer Base Cabinet,Gray Single Shaker,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-gss-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-gss-3db12-3-drawer-base-cabinet-17929,
oppein-ply-wss-3db15,OPPEIN,PLY-WSS-3DB15,3 Drawer Base Cabinet,White Single Shaker,Plywood,model_ready,381.0,762.0,606.425,/cabinet-library/models/PLY-WSS-3DB15.glb,https://www.oppeincabinetry.ca/shop/ply-wss-3db15-3-drawer-base-cabinet-9932,
oppein-pb-bss-3db12,OPPEIN,PB-BSS-3DB12,3 Drawer Base Cabinet,Blue Single Shaker,Particle board,model_ready,304.8,762.0,606.425,/cabinet-inventory/models/oppein-pb-bss-3db12.glb,https://www.oppeincabinetry.ca/shop/pb-bss-3db12-3-drawer-base-cabinet-17657,
