id,brand,supplier_sku,review_status,publication_approved,representative_group,source_url,findings
oppein-ply-gss-2db36,OPPEIN,PLY-GSS-2DB36,draft_visual_limitations,False,1,https://www.oppeincabinetry.ca/shop/ply-gss-2db36-2-drawer-base-cabinet-12058,FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-bss-2db30,OPPEIN,PLY-BSS-2DB30,draft_visual_limitations,False,2,https://www.oppeincabinetry.ca/shop/ply-bss-2db30-2-drawer-base-cabinet-15617,REFERENCE_PLACEHOLDER: Representative supplier image is a placeholder. Configuration/finish cannot be photo-verified from it. | FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-pgw-2db36,OPPEIN,PLY-PGW-2DB36,draft_visual_limitations,False,1,https://www.oppeincabinetry.ca/shop/ply-pgw-2db36-2-drawer-base-cabinet-15439,FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-mso-2db36,OPPEIN,PLY-MSO-2DB36,draft_visual_limitations,False,1,https://www.oppeincabinetry.ca/shop/ply-mso-2db36-2-drawer-base-cabinet-14703,FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match. | WOOD_GRAIN_APPROXIMATION: Generic oak texture/tint differs from supplier grain; drawer-front grain direction is not verified.
oppein-ply-bss-2db36,OPPEIN,PLY-BSS-2DB36,draft_visual_limitations,False,1,https://www.oppeincabinetry.ca/shop/ply-bss-2db36-2-drawer-base-cabinet-15665,FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-gss-2db30,OPPEIN,PLY-GSS-2DB30,draft_visual_limitations,False,2,https://www.oppeincabinetry.ca/shop/ply-gss-2db30-2-drawer-base-cabinet-12059,REFERENCE_PLACEHOLDER: Representative supplier image is a placeholder. Configuration/finish cannot be photo-verified from it. | FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-mso-2db30,OPPEIN,PLY-MSO-2DB30,draft_visual_limitations,False,2,https://www.oppeincabinetry.ca/shop/ply-mso-2db30-2-drawer-base-cabinet-14702,REFERENCE_PLACEHOLDER: Representative supplier image is a placeholder. Configuration/finish cannot be photo-verified from it. | FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match. | WOOD_GRAIN_APPROXIMATION: Generic oak texture/tint differs from supplier grain; drawer-front grain direction is not verified.
oppein-ply-pgw-2db30,OPPEIN,PLY-PGW-2DB30,draft_visual_limitations,False,2,https://www.oppeincabinetry.ca/shop/ply-pgw-2db30-2-drawer-base-cabinet-15438,REFERENCE_PLACEHOLDER: Representative supplier image is a placeholder. Configuration/finish cannot be photo-verified from it. | FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-wss-2db30,OPPEIN,PLY-WSS-2DB30,draft_visual_limitations,False,2,https://www.oppeincabinetry.ca/shop/ply-wss-2db30-2-drawer-base-cabinet-9929,REFERENCE_PLACEHOLDER: Representative supplier image is a placeholder. Configuration/finish cannot be photo-verified from it. | FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
oppein-ply-wss-2db36,OPPEIN,PLY-WSS-2DB36,draft_visual_limitations,False,1,https://www.oppeincabinetry.ca/shop/ply-wss-2db36-2-drawer-base-cabinet-9930,FINISH_APPROXIMATION: Finish uses generic colour/texture and lacks a calibrated supplier sample; not an exact product finish match.
