SKU,Product,Finish,Source,Reasons
H-013-457BSS,"H-013 Appliance Handle - Brushed Nickel, Matt Black, Chrome Finished",Brushed Nickel BSS,https://eurofitcanada.com/products/h-013-457-appliance-handle-satin-nickel-matt-black-chrome-finished,MISSING_WIDTH
H-013-457BK,"H-013 Appliance Handle - Brushed Nickel, Matt Black, Chrome Finished",Matt Black BK,https://eurofitcanada.com/products/h-013-457-appliance-handle-satin-nickel-matt-black-chrome-finished,MISSING_WIDTH
H-013-457CP,"H-013 Appliance Handle - Brushed Nickel, Matt Black, Chrome Finished",Chrome CP,https://eurofitcanada.com/products/h-013-457-appliance-handle-satin-nickel-matt-black-chrome-finished,MISSING_WIDTH
H-013-608BSS,"H-013 Appliance Handle - Brushed Nickel, Matt Black, Chrome Finished",Brushed Nickel BSS,https://eurofitcanada.com/products/h-013-457-appliance-handle-satin-nickel-matt-black-chrome-finished,MISSING_WIDTH
H-013-128BSS,H-013 Series Simplicity,Brushed Nickel BSS,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-128BK,H-013 Series Simplicity,Black BK,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-128CP,H-013 Series Simplicity,Chrome CP,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-128ORB,H-013 Series Simplicity,Oil Brush ORB,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-128SB,H-013 Series Simplicity,Rose Gold SB,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-160BSS,H-013 Series Simplicity,Brushed Nickel BSS,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-160SB,H-013 Series Simplicity,Rose Gold SB,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
H-013-160BK,H-013 Series Simplicity,Black BK,https://eurofitcanada.com/products/h-013-series-simplicity-chrome-brish-nickel-oil-brushed-finished,CATALOGUE_WEBSITE_DIMENSION_CONFLICT
